DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2022-11-01 14:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	175.02	EUR	2022-10-31 11:03:54.054
2022-11-01 18:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	205.77	EUR	2022-10-31 11:03:54.054
2022-11-01 22:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	154.20	EUR	2022-10-31 11:03:54.054
2022-11-01 00:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	47.59	EUR	2022-10-31 11:08:52.052
2022-11-01 01:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	68.47	EUR	2022-10-31 11:08:52.052
2022-11-01 02:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	52.39	EUR	2022-10-31 11:08:52.052
2022-11-01 03:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	64.98	EUR	2022-10-31 11:08:52.052
2022-11-01 04:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	68.85	EUR	2022-10-31 11:08:52.052
2022-11-01 05:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	56.61	EUR	2022-10-31 11:08:52.052
2022-11-01 06:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	71.26	EUR	2022-10-31 11:08:52.052
2022-11-01 07:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	44.12	EUR	2022-10-31 11:08:52.052
2022-11-01 08:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	30.08	EUR	2022-10-31 11:08:52.052
2022-11-01 09:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	31.34	EUR	2022-10-31 11:08:52.052
2022-11-01 10:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	-11.48	EUR	2022-10-31 11:08:52.052
2022-11-01 11:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	-3.16	EUR	2022-10-31 11:08:52.052
2022-11-01 12:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	32.57	EUR	2022-10-31 11:08:52.052
2022-11-01 13:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	101.93	EUR	2022-10-31 11:08:52.052
2022-11-01 14:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	122.88	EUR	2022-10-31 11:08:52.052
2022-11-01 15:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	133.13	EUR	2022-10-31 11:08:52.052
2022-11-01 16:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	147.56	EUR	2022-10-31 11:08:52.052
2022-11-01 17:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	121.42	EUR	2022-10-31 11:08:52.052
2022-11-01 18:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	92.68	EUR	2022-10-31 11:08:52.052
2022-11-01 19:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	87.76	EUR	2022-10-31 11:08:52.052
2022-11-01 20:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	85.65	EUR	2022-10-31 11:08:52.052
2022-11-01 21:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	52.46	EUR	2022-10-31 11:08:52.052
2022-11-01 22:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	34.94	EUR	2022-10-31 11:08:52.052
2022-11-01 03:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	64.31	EUR	2022-10-31 11:36:40.040
2022-11-01 07:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	104.73	EUR	2022-10-31 11:36:40.040
2022-11-01 11:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	79.99	EUR	2022-10-31 11:36:40.040
